timestamp,memory_available_kb,memory_free_kb,memory_used_kb,swap_used_kb,swap_total_kb,page_faults_per_sec,swap_in_per_sec,swap_out_per_sec,cpu_usage_percent,disk_read_bytes_per_sec,disk_write_bytes_per_sec,psi_some_avg10,psi_some_avg60,psi_full_avg10,psi_full_avg60
2026-09-15T10:18:50.427,3628156,3666800,382456,80812,2097152,2.95,0,0,0.25,0,0,0.0,0.05,0.0,0.05
2026-09-15T10:18:51.438,3628156,3666800,382456,80812,2097152,0.99,0,0,0.0,0,0,0.0,0.05,0.0,0.05
2026-09-15T10:18:52.483,3628156,3666800,382456,80812,2097152,0.96,0,0,0.0,0,0,0.0,0.05,0.0,0.05
2026-09-15T10:18:53.492,3571960,3610604,438652,80720,2097152,13854.23,17.84,0,3.46,73064.73,0,0.0,0.04,0.0,0.04
2026-09-15T10:18:54.509,3515764,3554408,494848,80720,2097152,12586.31,0,0,2.7,0,0,0.0,0.04,0.0,0.04
2026-09-15T10:18:55.514,3458932,3497576,551680,80720,2097152,12733.17,0,0,2.0,0,0,0.0,0.04,0.0,0.04
2026-09-15T10:18:56.529,3450940,3489584,559672,80720,2097152,3216.6,0,0,0.49,0,0,0.0,0.04,0.0,0.04
2026-09-15T10:18:57.576,3410548,3449192,600064,80720,2097152,9110.11,0,0,1.91,0,0,0.0,0.04,0.0,0.04
2026-09-15T10:18:58.612,3361268,3399912,649344,80720,2097152,12350.12,0,0,2.64,0,0,0.0,0.04,0.0,0.04
2026-09-15T10:18:59.616,3305092,3343716,705520,80720,2097152,12758.45,0,0,2.24,0,0,0.0,0.04,0.0,0.04
2026-09-15T10:19:00.645,3256708,3295332,753904,80720,2097152,12436.22,0,0,2.66,0,0,0.0,0.04,0.0,0.04
2026-09-15T10:19:01.689,3208324,3246948,802288,80720,2097152,12261.66,0,0,1.92,0,0,0.0,0.04,0.0,0.04
2026-09-15T10:19:02.736,3151876,3190500,858736,80720,2097152,12229.43,0,0,2.38,0,0,0.0,0.04,0.0,0.04
2026-09-15T10:19:03.784,3103492,3142116,907120,80720,2097152,12208.85,0,0,1.91,0,0,0.0,0.04,0.0,0.04
2026-09-15T10:19:04.790,3055140,3093764,955472,80720,2097152,12736.02,0,0,2.72,0,0,0.0,0.04,0.0,0.04
2026-09-15T10:19:05.826,2998692,3037316,1011920,80720,2097152,12355.63,0,0,2.66,0,0,0.0,0.04,0.0,0.04
2026-09-15T10:19:06.870,2950376,2989000,1060236,80720,2097152,12258.22,0,0,2.4,0,0,0.0,0.03,0.0,0.03
2026-09-15T10:19:07.913,2901992,2940616,1108620,80720,2097152,12272.87,0,0,2.39,0,0,0.0,0.03,0.0,0.03
2026-09-15T10:19:08.958,2845388,2884012,1165224,80720,2097152,12252.65,0,0,2.4,0,27443.8,0.0,0.03,0.0,0.03
2026-09-15T10:19:09.961,2789040,2827664,1221572,80720,2097152,12729.27,0,0,2.48,0,0,0.0,0.03,0.0,0.03
2026-09-15T10:19:08.490,2780976,2819600,1229636,80720,2097152,1450.34,0,0,0.48,0,0,0.0,0.03,0.0,0.03
2026-09-15T10:19:09.503,2732560,2771184,1278052,80720,2097152,11165.52,0,0,1.98,0,0,0.0,0.03,0.0,0.03
2026-09-15T10:19:10.511,2676144,2714768,1334468,80720,2097152,12695.62,0,0,2.48,0,0,0.0,0.03,0.0,0.03
2026-09-15T10:19:11.554,2627752,2666376,1382860,80720,2097152,12278.19,0,0,2.16,0,3928.41,0.0,0.03,0.0,0.03
2026-09-15T10:19:12.586,2571312,2609936,1439300,80720,2097152,12405.28,0,0,1.95,0,0,0.0,0.03,0.0,0.03
2026-09-15T10:19:13.594,2522928,2561552,1487684,80720,2097152,12695.03,0,0,2.23,0,20310.46,0.0,0.03,0.0,0.03
2026-09-15T10:19:14.639,2474548,2513168,1536064,80720,2097152,12248.76,0,0,2.15,0,0,0.0,0.03,0.0,0.03
2026-09-15T10:19:15.681,2418100,2456720,1592512,80720,2097152,12281.95,0,0,2.16,0,0,0.0,0.03,0.0,0.03
2026-09-15T10:19:16.692,2369716,2408336,1640896,80720,2097152,12667.11,0,0,2.23,0,0,0.0,0.03,0.0,0.03
2026-09-15T10:19:17.697,2321332,2359952,1689280,80720,2097152,12738.05,0,0,2.0,0,0,0.0,0.03,0.0,0.03
2026-09-15T10:19:18.716,2272948,2311568,1737664,80720,2097152,12556.27,0,0,2.21,0,0,0.0,0.03,0.0,0.03
2026-09-15T10:19:19.729,2224564,2263184,1786048,80720,2097152,12646.51,0,0,2.22,0,0,0.0,0.02,0.0,0.02
2026-09-15T10:19:20.743,2200440,2239060,1810172,80720,2097152,5994.81,0,0,1.23,0,0,0.0,0.02,0.0,0.02
2026-09-15T10:19:21.749,2168116,2206736,1842496,80720,2097152,6680.46,0,0,1.24,0,0,0.0,0.02,0.0,0.02
2026-09-15T10:19:22.768,2111668,2150288,1898944,80720,2097152,12556.25,0,0,2.21,0,0,0.0,0.02,0.0,0.02
2026-09-15T10:19:23.786,2063284,2101904,1947328,80720,2097152,12573.64,0,0,2.21,0,0,0.0,0.02,0.0,0.02
2026-09-15T10:19:24.804,2014900,2053520,1995712,80720,2097152,12582.22,0,0,2.22,0,0,0.0,0.02,0.0,0.02
2026-09-15T10:19:25.821,1956640,1995280,2053972,80720,2097152,12582.39,0,0,2.21,0,0,0.0,0.02,0.0,0.02
2026-09-15T10:19:26.870,1908528,1947148,2102084,80720,2097152,12211.32,0,0,1.91,0,0,0.0,0.02,0.0,0.02
2026-09-15T10:19:27.915,1860144,1898764,2150468,80720,2097152,12248.15,0,0,2.39,0,0,0.0,0.02,0.0,0.02
2026-09-15T10:19:28.929,1803696,1842316,2206916,80720,2097152,12623.57,0,0,2.46,0,0,0.0,0.02,0.0,0.02
2026-09-15T10:19:29.963,1755312,1793932,2255300,80720,2097152,12380.9,0,0,1.94,0,0,0.0,0.02,0.0,0.02
2026-09-15T10:19:30.987,1706928,1745548,2303684,80720,2097152,12493.82,0,0,2.67,0,0,0.0,0.02,0.0,0.02
2026-09-15T10:19:32.004,1650480,1689100,2360132,80720,2097152,12584.19,0,0,1.97,0,0,0.0,0.02,0.0,0.02
2026-09-15T10:19:33.011,1602096,1640716,2408516,80720,2097152,12713.44,0,0,2.24,0,0,0.0,0.02,0.0,0.02
2026-09-15T10:19:34.014,1569980,1608600,2440632,80720,2097152,7995.82,0,0,1.5,0,0,0.0,0.02,0.0,0.02
2026-09-15T10:19:35.017,1553712,1592332,2456900,80720,2097152,4771.3,0,0,1.0,0,0,0.0,0.02,0.0,0.02
2026-09-15T10:19:36.036,1497264,1535884,2513348,80720,2097152,12559.94,0,0,2.21,0,0,0.0,0.02,0.0,0.02
2026-09-15T10:19:37.052,1448880,1487500,2561732,80720,2097152,12591.94,0,0,2.46,0,0,0.0,0.02,0.0,0.02
2026-09-15T10:19:38.055,1401484,1440104,2609128,80720,2097152,12767.39,0,0,2.01,0,0,0.0,0.02,0.0,0.02
2026-09-15T10:19:39.064,1347112,1385732,2663500,80720,2097152,12683.82,0,0,2.47,0,32468.05,0.0,0.02,0.0,0.02
2026-09-15T10:19:40.069,1299408,1338028,2711204,80720,2097152,12736.55,0,0,2.24,0,0,0.0,0.02,0.0,0.02
